Seed	Iterations	Most_Frequent	Frequency
1000	34	2918	2
1001	156	7971	2
1002	88	1764	2
1003	43	2377	2
1004	99	7971	2
1005	111	9682	2
1006	73	7971	2
1007	41	2426	2
1008	45	4354	2
1009	99	7971	2
1010	85	1764	2
1011	69	7971	2
1012	113	7971	2
1013	65	1764	2
1014	25	2315	2
1015	103	9682	2
1016	78	9682	2
1017	56	9682	2
1018	57	9332	2
1019	144	7971	2
1020	69	1385	2
1021	84	9682	2
1022	46	7971	2
1023	88	7971	2
1024	75	7971	2
1025	103	7971	2
1026	67	1456	2
1027	64	9682	2
1028	114	7971	2
1029	74	7971	2
1030	44	3441	2
1031	92	7971	2
1032	38	7971	2
1033	97	7971	2
1034	52	5304	2
1035	95	1764	2
1036	42	4354	2
1037	166	7971	2
1038	103	7971	2
1039	109	7971	2
1040	58	1456	2
1041	74	7971	2
1042	95	7971	2
1043	146	7971	2
1044	30	2882	2
1045	95	7971	2
1046	102	1764	2
1047	87	2918	2
1048	19	8315	2
1049	75	9682	2
1050	67	2918	2
1051	58	9332	2
1052	132	9682	2
1053	105	9682	2
1054	97	7971	2
1055	74	7971	2
1056	94	7971	2
1057	115	9682	2
1058	70	1764	2
1059	77	7971	2
1060	71	9682	2
1061	142	7971	2
1062	14	3105	2
1063	89	9682	2
1064	77	1764	2
1065	145	7971	2
1066	103	9682	2
1067	50	7971	2
1068	94	1764	2
1069	51	1764	2
1070	77	7971	2
1071	32	9512	2
1072	83	9682	2
1073	100	9682	2
1074	93	9682	2
1075	58	9682	2
1076	47	9267	2
1077	98	7971	2
1078	94	7971	2
1079	95	7971	2
1080	76	7971	2
1081	99	7971	2
1082	56	1385	2
1083	102	7971	2
1084	48	2918	2
1085	51	7971	2
1086	71	9682	2
1087	88	9682	2
1088	57	9682	2
1089	87	9682	2
1090	34	9682	2
1091	93	9682	2
1092	41	3475	2
1093	42	7971	2
1094	94	9682	2
1095	111	1764	2
1096	96	7971	2
1097	102	9682	2
1098	151	7971	2
1099	50	9682	2
1100	104	1764	2
1101	124	9682	2
1102	121	1764	2
1103	107	7971	2
1104	23	7971	2
1105	147	7971	2
1106	80	9682	2
1107	60	1764	2
1108	103	1764	2
1109	48	2207	2
1110	88	9682	2
1111	119	9682	2
1112	72	7971	2
1113	118	7971	2
1114	87	7971	2
1115	54	2918	2
1116	80	7971	2
1117	90	1764	2
1118	116	1764	2
1119	160	7971	2
1120	88	7971	2
1121	109	7971	2
1122	111	7971	2
1123	74	7971	2
1124	123	7971	2
1125	61	1456	2
1126	72	1385	2
1127	51	9682	2
1128	160	7971	2
1129	73	7971	2
1130	129	1764	2
1131	96	7971	2
1132	66	2918	2
1133	52	9332	2
1134	37	9512	2
1135	111	7971	2
1136	109	7971	2
1137	37	3478	2
1138	23	4042	2
1139	51	0592	2
1140	88	9682	2
1141	150	7971	2
1142	35	7971	2
1143	82	1764	2
1144	49	9267	2
1145	118	7971	2
1146	52	9682	2
1147	105	2918	2
1148	131	7971	2
1149	45	9201	2
1150	64	9682	2
1151	46	7971	2
1152	70	2918	2
1153	68	1385	2
1154	138	7971	2
1155	112	7971	2
1156	60	1456	2
1157	82	7971	2
1158	101	9682	2
1159	26	9719	2
1160	81	9682	2
1161	44	1385	2
1162	103	9682	2
1163	89	7971	2
1164	157	7971	2
1165	66	2918	2
1166	41	2918	2
1167	26	7971	2
1168	66	7971	2
1169	114	9682	2
1170	78	2918	2
1171	55	7971	2
1172	105	9682	2
1173	38	2918	2
1174	96	1764	2
1175	61	9682	2
1176	106	9682	2
1177	55	7971	2
1178	47	1456	2
1179	53	9682	2
1180	45	4354	2
1181	109	9682	2
1182	108	9682	2
1183	52	5304	2
1184	113	7971	2
1185	49	5304	2
1186	50	7900	2
1187	55	1764	2
1188	101	7971	2
1189	116	9682	2
1190	108	1764	2
1191	30	4696	2
1192	92	9682	2
1193	155	7971	2
1194	55	1456	2
1195	72	7971	2
1196	26	7971	2
1197	43	9344	2
1198	95	2918	2
1199	34	7971	2
1200	55	7971	2
1201	74	7971	2
1202	71	1385	2
1203	97	7971	2
1204	168	7971	2
1205	78	7971	2
1206	99	7971	2
1207	46	3475	2
1208	78	7971	2
1209	103	7971	2
1210	13	7971	2
1211	64	9682	2
1212	84	7971	2
1213	155	7971	2
1214	88	7971	2
1215	68	1764	2
1216	80	1764	2
1217	45	3557	2
1218	48	1456	2
1219	85	1764	2
1220	16	9196	2
1221	81	2918	2
1222	83	1764	2
1223	85	7971	2
1224	30	1456	2
1225	80	9682	2
1226	106	9682	2
1227	104	9682	2
1228	62	1456	2
1229	62	9332	2
1230	73	7971	2
1231	44	9682	2
1232	55	1456	2
1233	75	1456	2
1234	70	1385	2
1235	53	9682	2
1236	99	7971	2
1237	117	9682	2
1238	75	7971	2
1239	91	7971	2
1240	50	1764	2
1241	104	9682	2
1242	66	9682	2
1243	84	1385	2
1244	92	7971	2
1245	101	7971	2
1246	161	7971	2
1247	88	1764	2
1248	103	2918	2
1249	54	9682	2
1250	92	9682	2
1251	65	9682	2
1252	97	7971	2
1253	105	7971	2
1254	105	9682	2
1255	90	7971	2
1256	48	2918	2
1257	51	7971	2
1258	148	7971	2
1259	161	7971	2
1260	68	7971	2
1261	121	7971	2
1262	56	1456	2
1263	46	0592	2
1264	50	7971	2
1265	48	1385	2
1266	62	2918	2
1267	47	3441	2
1268	100	7971	2
1269	59	7971	2
1270	94	9682	2
1271	70	7971	2
1272	121	7971	2
1273	55	9332	2
1274	99	7971	2
1275	45	9193	2
1276	147	7971	2
1277	107	9682	2
1278	76	7971	2
1279	151	7971	2
1280	43	5795	2
1281	71	1385	2
1282	54	9682	2
1283	92	9682	2
1284	158	7971	2
1285	70	7971	2
1286	81	9682	2
1287	60	2207	2
1288	90	7971	2
1289	47	2918	2
1290	174	7971	2
1291	82	9682	2
1292	44	2918	2
1293	33	6921	2
1294	155	7971	2
1295	50	9682	2
1296	102	7971	2
1297	57	9682	2
1298	56	2207	2
1299	49	9682	2
1300	46	9682	2
1301	50	7971	2
1302	92	9682	2
1303	100	1764	2
1304	50	5408	2
1305	153	7971	2
1306	76	9682	2
1307	101	9682	2
1308	160	7971	2
1309	90	1764	2
1310	87	7971	2
1311	66	7971	2
1312	88	9682	2
1313	120	7971	2
1314	46	1456	2
1315	138	7971	2
1316	122	9682	2
1317	100	1764	2
1318	53	3475	2
1319	90	7971	2
1320	90	9682	2
1321	72	7971	2
1322	67	9682	2
1323	51	2261	2
1324	69	7971	2
1325	163	7971	2
1326	56	7971	2
1327	59	2918	2
1328	102	7971	2
1329	70	7971	2
1330	82	9682	2
1331	92	2918	2
1332	31	7971	2
1333	63	1456	2
1334	113	7971	2
1335	51	1456	2
1336	48	9682	2
1337	85	7971	2
1338	86	7971	2
1339	80	9682	2
1340	91	7971	2
1341	95	9682	2
1342	125	7971	2
1343	153	7971	2
1344	163	7971	2
1345	98	7971	2
1346	86	1764	2
1347	106	9682	2
1348	76	1764	2
1349	149	7971	2
1350	123	9682	2
1351	54	1385	2
1352	69	9682	2
1353	60	1385	2
1354	78	7971	2
1355	69	7971	2
1356	62	7971	2
1357	110	7971	2
1358	121	9682	2
1359	63	2207	2
1360	73	1385	2
1361	45	9682	2
1362	120	1764	2
1363	47	1385	2
1364	83	7971	2
1365	48	9682	2
1366	100	1764	2
1367	105	7971	2
1368	110	7971	2
1369	18	2918	2
1370	76	9682	2
1371	113	7971	2
1372	51	1456	2
1373	69	1385	2
1374	46	2918	2
1375	34	1456	2
1376	80	1764	2
1377	78	7971	2
1378	77	7971	2
1379	84	9682	2
1380	44	9682	2
1381	103	7971	2
1382	103	7971	2
1383	64	9682	2
1384	53	9682	2
1385	41	7090	2
1386	68	7971	2
1387	124	9682	2
1388	62	9332	2
1389	82	9682	2
1390	59	1764	2
1391	73	7971	2
1392	93	7971	2
1393	59	7971	2
1394	45	9332	2
1395	79	9682	2
1396	88	1764	2
1397	59	1456	2
1398	100	9682	2
1399	146	7971	2
1400	95	7971	2
1401	35	9682	2
1402	72	7971	2
1403	52	7971	2
1404	87	9682	2
1405	95	1764	2
1406	96	7971	2
1407	28	3478	2
1408	129	7971	2
1409	114	7971	2
1410	102	1764	2
1411	81	1764	2
1412	139	7971	2
1413	59	7971	2
1414	45	3544	2
1415	52	9682	2
1416	83	7971	2
1417	89	1764	2
1418	104	9682	2
1419	65	9682	2
1420	110	7971	2
1421	133	9682	2
1422	78	1764	2
1423	86	7971	2
1424	88	9682	2
1425	125	9682	2
1426	119	7971	2
1427	102	7971	2
1428	130	7971	2
1429	65	9682	2
1430	90	7971	2
1431	62	9682	2
1432	56	1764	2
1433	56	7971	2
1434	85	7971	2
1435	31	1456	2
1436	118	9682	2
1437	55	9682	2
1438	122	7971	2
1439	100	7971	2
1440	82	9682	2
1441	57	2207	2
1442	67	7971	2
1443	67	1385	2
1444	55	9332	2
1445	77	1764	2
1446	74	1385	2
1447	52	1456	2
1448	147	7971	2
1449	47	2207	2
1450	103	1764	2
1451	79	1764	2
1452	86	7971	2
1453	86	7971	2
1454	54	9682	2
1455	55	9682	2
1456	23	7967	2
1457	66	7971	2
1458	86	7971	2
1459	53	9682	2
1460	68	1456	2
1461	133	7971	2
1462	150	7971	2
1463	118	7971	2
1464	60	9332	2
1465	30	8078	2
1466	95	9682	2
1467	90	9682	2
1468	93	7971	2
1469	64	2207	2
1470	141	7971	2
1471	54	9682	2
1472	89	1764	2
1473	106	7971	2
1474	134	9682	2
1475	57	7971	2
1476	78	1764	2
1477	87	7971	2
1478	142	7971	2
1479	108	7971	2
1480	93	7971	2
1481	93	7971	2
1482	44	2261	2
1483	44	1456	2
1484	23	8312	2
1485	45	3540	2
1486	95	1764	2
1487	57	1764	2
1488	71	7971	2
1489	71	1385	2
1490	60	9682	2
1491	21	6008	2
1492	115	9682	2
1493	100	7971	2
1494	104	7971	2
1495	92	7971	2
1496	65	7971	2
1497	150	7971	2
1498	121	7971	2
1499	141	7971	2
1500	162	7971	2
1501	79	7971	2
1502	19	2170	2
1503	102	7971	2
1504	47	2610	2
1505	73	2918	2
1506	116	7971	2
1507	92	7971	2
1508	85	7971	2
1509	91	9682	2
1510	43	8633	2
1511	100	7971	2
1512	100	1764	2
1513	105	7971	2
1514	109	7971	2
1515	31	7296	2
1516	133	7971	2
1517	50	2207	2
1518	61	7971	2
1519	44	7900	2
1520	55	1385	2
1521	52	9682	2
1522	49	7971	2
1523	115	1764	2
1524	69	9682	2
1525	88	9682	2
1526	48	5551	2
1527	85	9682	2
1528	103	7971	2
1529	157	7971	2
1530	121	9682	2
1531	65	1764	2
1532	38	7971	2
1533	67	1456	2
1534	48	9682	2
1535	67	1385	2
1536	65	7971	2
1537	48	3544	2
1538	102	9682	2
1539	62	7971	2
1540	104	9682	2
1541	103	7971	2
1542	97	1764	2
1543	89	7971	2
1544	85	7971	2
1545	132	7971	2
1546	144	7971	2
1547	137	7971	2
