Seed	Iterations	Most_Frequent	Frequency
1111	53	9600	2
1112	65	4100	2
1113	81	4100	2
1114	39	6100	2
1115	22	4100	2
1116	51	6100	2
1117	34	4100	2
1118	4	0000	1
1119	94	6100	2
1120	62	4100	2
1121	14	0000	1
1122	81	4100	2
1123	13	2916	2
1124	53	6100	2
1125	54	4100	2
1126	63	9600	2
1127	62	4100	2
1128	47	6100	2
1129	31	0000	1
1130	22	6100	2
1131	93	4100	2
1132	81	6100	2
1133	42	4100	2
1134	55	9600	2
1135	36	4100	2
1136	8	0000	1
1137	61	4100	2
1138	29	6100	2
1139	76	6100	2
1140	34	0000	1
1141	90	4100	2
1142	35	4100	2
1143	87	6100	2
1144	13	0000	1
1145	64	6100	2
1146	53	6100	2
1147	9	0012	1
1148	44	4100	2
1149	6	0000	1
1150	21	0000	1
1151	24	0000	1
1152	54	9600	2
1153	57	6100	2
1154	3	0000	1
1155	43	4100	2
1156	54	4100	2
1157	52	0240	1
1158	102	4100	2
1159	54	6100	2
1160	47	6100	2
1161	14	2100	2
1162	58	6100	2
1163	39	4100	2
1164	86	6100	2
1165	20	6100	2
1166	48	9600	2
1167	83	6100	2
1168	79	6100	2
1169	24	9600	2
1170	54	0000	1
1171	9	9600	2
1172	16	3600	2
1173	7	6100	2
1174	47	0000	1
1175	33	6100	2
1176	25	6100	2
1177	22	0000	1
1178	48	6100	2
1179	5	2100	2
1180	17	0000	1
1181	8	8100	2
1182	49	6100	2
1183	51	6100	2
1184	43	9600	2
1185	21	0005	1
1186	29	4100	2
1187	79	6100	2
1188	39	4100	2
1189	11	0012	1
1190	46	6100	2
1191	30	9600	2
1192	90	6100	2
1193	24	0000	1
1194	38	4100	2
1195	61	9600	2
1196	5	2500	2
1197	30	0000	1
1198	88	6100	2
1199	51	6100	2
1200	5	3600	2
1201	76	4100	2
1202	72	4100	2
1203	84	6100	2
1204	30	0000	1
1205	6	2500	2
1206	93	4100	2
1207	5	0100	2
1208	38	9600	2
1209	21	5600	2
1210	49	4100	2
1211	89	4100	2
1212	54	9600	2
1213	11	3600	2
1214	100	4100	2
1215	53	4100	2
1216	88	6100	2
1217	71	6100	2
1218	57	4100	2
1219	23	9600	2
1220	21	0005	1
1221	10	4100	2
1222	43	4100	2
1223	88	4100	2
1224	12	0000	1
1225	6	3600	2
1226	4	5030	2
1227	40	9600	2
1228	63	4100	2
1229	70	4100	2
1230	8	0000	1
1231	25	6100	2
1232	65	4100	2
1233	51	4100	2
1234	55	3317	1
1235	63	6100	2
1236	41	4100	2
1237	46	4100	2
1238	11	3600	2
1239	54	4100	2
1240	34	9600	2
1241	5	1600	2
1242	45	6100	2
1243	29	6100	2
1244	31	0000	1
1245	2	2500	2
1246	25	6100	2
1247	22	3317	1
1248	61	6100	2
1249	4	5600	2
1250	21	6100	2
1251	47	4100	2
1252	15	2100	2
1253	3	0100	2
1254	58	4100	2
1255	43	6100	2
1256	28	6100	2
1257	6	9600	2
1258	42	6100	2
1259	11	4100	2
1260	54	6100	2
1261	47	9600	2
1262	49	0000	1
1263	79	4100	2
1264	34	4100	2
1265	6	0000	1
1266	69	6100	2
1267	34	9600	2
1268	32	4100	2
1269	56	6100	2
1270	14	5600	2
1271	62	4100	2
1272	4	7600	2
1273	26	0000	1
1274	62	6100	2
1275	82	4100	2
1276	16	6100	2
1277	43	0000	1
1278	53	4100	2
1279	62	4100	2
1280	37	9600	2
1281	12	4100	2
1282	39	9600	2
1283	58	6100	2
1284	49	6100	2
1285	47	6100	2
1286	24	0001	1
1287	90	4100	2
1288	43	4100	2
1289	44	9600	2
1290	68	4100	2
1291	12	0078	1
1292	75	4100	2
1293	9	9600	2
1294	10	2500	2
1295	51	4100	2
1296	22	9600	2
1297	82	6100	2
1298	33	0000	1
1299	19	0000	1
1300	5	6100	2
1301	95	4100	2
1302	25	0000	1
1303	11	8100	2
1304	77	4100	2
1305	32	4100	2
1306	70	4100	2
1307	81	4100	2
1308	50	6100	2
1309	89	6100	2
1310	76	4100	2
1311	67	4100	2
1312	25	0576	1
1313	23	4100	2
1314	72	6100	2
1315	7	9600	2
1316	51	6100	2
1317	6	2916	2
1318	20	4100	2
1319	31	4100	2
1320	54	0240	1
1321	9	5600	2
1322	13	0000	1
1323	30	6100	2
1324	13	6100	2
1325	83	6100	2
1326	43	9600	2
1327	45	6100	2
1328	49	4100	2
1329	6	0000	1
1330	7	0100	2
1331	66	4100	2
1332	83	4100	2
1333	17	0002	1
1334	49	6100	2
1335	10	6100	2
1336	89	6100	2
1337	13	6100	2
1338	6	0000	1
1339	55	6100	2
1340	45	6100	2
1341	22	4100	2
1342	46	6100	2
1343	8	0000	1
1344	79	4100	2
1345	98	6100	2
1346	68	6100	2
1347	69	6100	2
1348	52	6100	2
1349	13	1600	2
1350	58	4100	2
1351	67	6100	2
1352	67	6100	2
1353	61	9600	2
1354	17	6100	2
